transaction_id,sender_name,receiver_name,amount,merchant_category,transaction_type,device_type,location,transaction_hour,previous_fraud_history,customer_age,payment_method,is_fraud
TXN100000,User_131,Merchant_662,84.47,Gambling,Withdrawal,Desktop - Known,New York,18,0,18,Debit Card,0
TXN100001,User_1083,Merchant_511,10.45,Gas Station,Bill Payment,Mobile - Known,Unknown/Foreign,0,0,18,Debit Card,0
TXN100002,User_647,Merchant_21,27.04,Electronics,Purchase,Mobile - New,Seattle,18,0,41,ACH,0
TXN100003,User_776,Merchant_35,107.77,Grocery,Bill Payment,Desktop - Known,Chicago,20,0,53,Credit Card,0
TXN100004,User_3935,Merchant_271,432.08,Electronics,Withdrawal,Mobile - Known,Houston,9,0,18,Cryptocurrency,0
TXN100005,User_493,Merchant_41,16.68,Electronics,Purchase,Mobile - Known,Chicago,17,0,48,Credit Card,0
TXN100006,User_2337,Merchant_379,63.25,Grocery,Purchase,Mobile - New,Chicago,7,0,50,Wire Transfer,0
TXN100007,User_2732,Merchant_726,13.85,Travel,Purchase,Desktop - New,Miami,1,0,64,Wire Transfer,0
TXN100008,User_3626,Merchant_461,392.81,Online Retail,Purchase,Desktop - Known,Dallas,22,0,90,Credit Card,0
TXN100009,User_1184,Merchant_699,40.55,Crypto Exchange,Transfer,Desktop - Known,Dallas,4,0,64,Debit Card,0
TXN100010,User_3420,Merchant_473,213.61,Jewelry,Transfer,Mobile - Known,New York,11,0,43,ACH,0
TXN100011,User_3297,Merchant_234,68.89,Grocery,Purchase,Mobile - New,Seattle,8,0,43,Credit Card,0
TXN100012,User_3459,Merchant_113,74.14,Crypto Exchange,Purchase,Desktop - Known,Dallas,16,0,29,Wire Transfer,0
TXN100013,User_1708,Merchant_730,28.85,Gambling,Purchase,ATM,Chicago,22,0,39,Debit Card,0
TXN100014,User_2800,Merchant_144,763.93,Electronics,Withdrawal,Desktop - New,Los Angeles,5,0,63,Credit Card,0
